"file_name","name","company","date_of_birth","job","social_security_number"
"image_0.bmp","Amanda Huff","Apple","1988-08-10","Human Resources","98-80-9232"
"image_1.bmp","Tammy Montgomery","Google","2009-10-18","Team Lead","045-04-3726"
"image_10.bmp","Benjamin Gonzales","Google","1999-10-08","Scrum Master","397-26-6887"
"image_100.bmp","Ronald Johnson","Google","1926-04-13","Software","538-18-5577"
"image_101.bmp","Emily Scott","Apple","1973-06-28","Software Engineer","561-588-8710"
"image_102.bmp","test","test","2021-12-27","test","test"
"image_103.bmp","test","test","2021-12-27","test","test"
"image_104.bmp","Sarah Collins","Google","1939-02-02","Team Lead","465-16-8787"
"image_105.bmp","test","test","2021-12-27","test","test"
"image_106.bmp","test","test","2021-12-27","test","test"
"image_107.bmp","test","test","2021-12-27","test","test"
"image_108.bmp","Kristina Huff","Google","1950-07-19","Human Resources","016-81-4885"
"image_109.bmp","Stacey Mcmillan","Apple","1944-05-12","Hurmen Sesotes","670-12-1224"
"image_11.bmp","Mr Andrew May","Google","2020-12-23","Human Resources","34-78-4718"
"image_110.bmp","William Jensen","Google","1991-04-18","Team Lead","64-89-0759"
"image_111.bmp","Andrew Sullivan","Google","1963-05-29","Team Lead","736-29-8299"
"image_112.bmp","Robert Rivera","Apple","2007-09-19","Software Engineer","886-611-6384"
"image_113.bmp","test","test","2021-12-27","test","test"
"image_114.bmp","test","test","2021-12-27","test","test"
"image_115.bmp","test","test","2021-12-27","test","test"
"image_116.bmp","Barbara Olson","Apple","1969-11-17","Manager","428-42-8611"
"image_117.bmp","Allison Haynes","Apple","1999-12-08","Human Resourses","354-88-0870"
"image_118.bmp","Adam Thornton","Apple","1960-07-31","Scrum Master","095-41-9366"
"image_119.bmp","test","test","2021-12-27","test","test"
"image_12.bmp","Eric Mcclain","Google","1978-01-17","Scrum Master","803-96-1860"
"image_120.bmp","Audrey Gutierrez","Google","2003-04-26","Software","123-93-4188"
"image_121.bmp","test","test","2021-12-27","test","test"
"image_122.bmp","test","test","2021-12-27","test","test"
"image_123.bmp","test","test","2021-12-27","test","test"
"image_124.bmp","Ms Regina Fowier","Apple","1922-03-13","Sottware Engineer","090-20-9816"
"image_125.bmp","Natasha Williams","Google","2008-04-23","Human Resources","789-92-1932"
"image_126.bmp","Lisa Dougas","Apple","1965-01-31"," Manager","106-30-6798"
